y,z,theta
0.95161290,0.37096774,5.268865040531e-01
0.98387097,0.37096774,5.145517853077e-01
1.00000000,0.37096774,5.000000000000e-01
0.00000000,0.40322581,1.000000000000e+00
0.01612903,0.40322581,9.397266653024e-01
0.04838710,0.40322581,9.063555135211e-01
0.08064516,0.40322581,8.736103778018e-01
0.11290323,0.40322581,8.461281161950e-01
0.14516129,0.40322581,8.228142296694e-01
0.17741935,0.40322581,8.024510334952e-01
0.20967742,0.40322581,7.841902386572e-01
0.24193548,0.40322581,7.674453942469e-01
0.27419355,0.40322581,7.518334747281e-01
0.30645161,0.40322581,7.371213821788e-01
0.33870968,0.40322581,7.231756820795e-01
0.37096774,0.40322581,7.099212855921e-01
0.40322581,0.40322581,6.973119979282e-01
0.43548387,0.40322581,6.853122420160e-01
0.46774194,0.40322581,6.738873371295e-01
0.50000000,0.40322581,6.629993008352e-01
0.53225806,0.40322581,6.526055477481e-01
0.56451613,0.40322581,6.426585824248e-01
0.59677419,0.40322581,6.331056024145e-01
0.62903226,0.40322581,6.238871750927e-01
0.66129032,0.40322581,6.149366463342e-01
0.69354839,0.40322581,6.061768358844e-01
0.72580645,0.40322581,5.975354566892e-01
0.75806452,0.40322581,5.888980016179e-01
0.79032258,0.40322581,5.801081213751e-01
0.82258065,0.40322581,5.710149097270e-01
0.85483871,0.40322581,5.614046314961e-01
0.88709677,0.40322581,5.510110377506e-01
0.91935484,0.40322581,5.394942083921e-01
0.95161290,0.40322581,5.272196231864e-01
0.98387097,0.40322581,5.147181054188e-01
1.00000000,0.40322581,5.000000000000e-01
0.00000000,0.43548387,1.000000000000e+00
0.01612903,0.43548387,9.400509101665e-01
0.04838710,0.43548387,9.069108707383e-01
0.08064516,0.43548387,8.744143950284e-01
0.11290323,0.43548387,8.471565794121e-01
0.14516129,0.43548387,8.240345035715e-01
0.17741935,0.43548387,8.038312087136e-01
0.20967742,0.43548387,7.856979250517e-01
0.24193548,0.43548387,7.690485345498e-01
0.27419355,0.43548387,7.535021599103e-01
0.30645161,0.43548387,7.388294383132e-01
0.33870968,0.43548387,7.249013499902e-01
0.37096774,0.43548387,7.116469153684e-01
0.40322581,0.43548387,6.990230803291e-01
0.43548387,0.43548387,6.869962449271e-01
0.46774194,0.43548387,6.755327453823e-01
0.50000000,0.43548387,6.645950722568e-01
0.53225806,0.43548387,6.541410065812e-01
0.56451613,0.43548387,6.441236268728e-01
0.59677419,0.43548387,6.344910713468e-01
0.62903226,0.43548387,6.251851538667e-01
0.66129032,0.43548387,6.161407760369e-01
0.69354839,0.43548387,6.072821159354e-01
0.72580645,0.43548387,5.985390042814e-01
0.75806452,0.43548387,5.897959811451e-01
0.79032258,0.43548387,5.808989158356e-01
0.82258065,0.43548387,5.716961916808e-01
0.85483871,0.43548387,5.619736017310e-01
0.88709677,0.43548387,5.514641606232e-01
0.91935484,0.43548387,5.398270257171e-01
0.95161290,0.43548387,5.274358912088e-01
0.98387097,0.43548387,5.148241142030e-01
1.00000000,0.43548387,5.000000000000e-01
0.00000000,0.46774194,1.000000000000e+00
0.01612903,0.46774194,9.402350394293e-01
0.04838710,0.46774194,9.072286480515e-01
0.08064516,0.46774194,8.748739058422e-01
0.11290323,0.46774194,8.477443225473e-01
0.14516129,0.46774194,8.247324442135e-01
0.17741935,0.46774194,8.046218591524e-01
0.20967742,0.46774194,7.865632749000e-01
0.24193548,0.46774194,7.699704710382e-01
0.27419355,0.46774194,7.544636227179e-01
0.30645161,0.46774194,7.398154376927e-01
0.33870968,0.46774194,7.258994318335e-01
0.37096774,0.46774194,7.126469993272e-01
0.40322581,0.46774194,7.000168569779e-01
0.43548387,0.46774194,6.879764328478e-01
0.46774194,0.46774194,6.764924769825e-01
0.50000000,0.46774194,6.655275585886e-01
0.53225806,0.46774194,6.550395013857e-01
0.56451613,0.46774194,6.449816093745e-01
0.59677419,0.46774194,6.353025407549e-01
0.62903226,0.46774194,6.259448874294e-01
0.66129032,0.46774194,6.168445755167e-01
0.69354839,0.46774194,6.079267325598e-01
0.72580645,0.46774194,5.991225789960e-01
0.75806452,0.46774194,5.903163046108e-01
0.79032258,0.46774194,5.813552728386e-01
0.82258065,0.46774194,5.720875965476e-01
0.85483871,0.46774194,5.622989027905e-01
0.88709677,0.46774194,5.517218490770e-01
0.91935484,0.46774194,5.400151716206e-01
0.95161290,0.46774194,5.275573947441e-01
0.98387097,0.46774194,5.148827912999e-01
1.00000000,0.46774194,5.000000000000e-01
0.00000000,0.50000000,1.000000000000e+00
0.01612903,0.50000000,9.402996081063e-01
0.04838710,0.50000000,9.073587237122e-01
0.08064516,0.50000000,8.750654748274e-01
0.11290323,0.50000000,8.479936408758e-01
0.14516129,0.50000000,8.250330097069e-01
0.17741935,0.50000000,8.049663846443e-01
0.20967742,0.50000000,7.869437449600e-01
0.24193548,0.50000000,7.703788001987e-01
0.27419355,0.50000000,7.548922304406e-01
0.30645161,0.50000000,7.402576400965e-01
0.33870968,0.50000000,7.263496254328e-01
0.37096774,0.50000000,7.131005861633e-01
0.40322581,0.50000000,7.004699728147e-01
0.43548387,0.50000000,6.884256069813e-01
0.46774194,0.50000000,6.769343484359e-01
0.50000000,0.50000000,6.659587236900e-01
0.53225806,0.50000000,6.554565070899e-01
0.56451613,0.50000000,6.453810566113e-01
0.59677419,0.50000000,6.356812459114e-01
0.62903226,0.50000000,6.263000282016e-01
0.66129032,0.50000000,6.171738285095e-01
0.69354839,0.50000000,6.082282504879e-01
0.72580645,0.50000000,5.993952355667e-01
0.75806452,0.50000000,5.905587450349e-01
0.79032258,0.50000000,5.815669144434e-01
0.82258065,0.50000000,5.722677905071e-01
0.85483871,0.50000000,5.624471794369e-01
0.88709677,0.50000000,5.518378287456e-01
0.91935484,0.50000000,5.400985626178e-01
0.95161290,0.50000000,5.276103727352e-01
0.98387097,0.50000000,5.149044988105e-01
1.00000000,0.50000000,5.000000000000e-01
0.00000000,0.53225806,1.000000000000e+00
0.01612903,0.53225806,9.402347850113e-01
0.04838710,0.53225806,9.072297472540e-01
0.08064516,0.53225806,8.748757571798e-01
0.11290323,0.53225806,8.477469683110e-01
0.14516129,0.53225806,8.247358554944e-01
0.17741935,0.53225806,8.046259881175e-01
0.20967742,0.53225806,7.865680818378e-01
0.24193548,0.53225806,7.699758977352e-01
0.27419355,0.53225806,7.544695934534e-01
0.30645161,0.53225806,7.398218699542e-01
0.33870968,0.53225806,7.259062427608e-01
0.37096774,0.53225806,7.126541081448e-01
0.40322581,0.53225806,7.000241844114e-01
0.43548387,0.53225806,6.879838990048e-01
0.46774194,0.53225806,6.764999993419e-01
0.50000000,0.53225806,6.655350513099e-01
0.53225806,0.53225806,6.550468764362e-01
0.56451613,0.53225806,6.449887791500e-01
0.59677419,0.53225806,6.353094216809e-01
0.62903226,0.53225806,6.259514031272e-01
0.66129032,0.53225806,6.168506605517e-01
0.69354839,0.53225806,6.079323321030e-01
0.72580645,0.53225806,5.991276578332e-01
0.75806452,0.53225806,5.903208195054e-01
0.79032258,0.53225806,5.813592089851e-01
0.82258065,0.53225806,5.720909347614e-01
