x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.48000000,5.303219773559e-001,5.604953690784e-001,6.729037057598e-001,8.173149780736e-001,8.489820297681e-001
0.49000000,5.298997973160e-001,5.596574899067e-001,6.705035998909e-001,8.146433747458e-001,8.467785911791e-001
0.50000000,5.294839404241e-001,5.588324967692e-001,6.681571960150e-001,8.119541016979e-001,8.445442748868e-001
0.51000000,5.290742178193e-001,5.580198789561e-001,6.658600126832e-001,8.092451926542e-001,8.422763108811e-001
0.52000000,5.286704493281e-001,5.572191768698e-001,6.636078638193e-001,8.065145516155e-001,8.399717572383e-001
0.53000000,5.282724625178e-001,5.564299709807e-001,6.613968320486e-001,8.037599336600e-001,8.376274777895e-001
0.54000000,5.278800918962e-001,5.556518734281e-001,6.592232395618e-001,8.009789258845e-001,8.352401199086e-001
0.55000000,5.274931782222e-001,5.548845215570e-001,6.570836168976e-001,7.981689267136e-001,8.328060897056e-001
0.56000000,5.271115679021e-001,5.541275728540e-001,6.549746699904e-001,7.953271245814e-001,8.303215261094e-001
0.57000000,5.267351124458e-001,5.533807008594e-001,6.528932457376e-001,7.924504751538e-001,8.277822758373e-001
0.58000000,5.263636679678e-001,5.526435917121e-001,6.508362963568e-001,7.895356774603e-001,8.251838631183e-001
0.59000000,5.259970947216e-001,5.519159410238e-001,6.488008425970e-001,7.865791483393e-001,8.225214586215e-001
0.60000000,5.256352566626e-001,5.511974508279e-001,6.467839360756e-001,7.835769954932e-001,8.197898471179e-001
0.61000000,5.252780210309e-001,5.504878263448e-001,6.447826209972e-001,7.805249887177e-001,8.169833927132e-001
0.62000000,5.249252580073e-001,5.497867724727e-001,6.427939004155e-001,7.774185295111e-001,8.140960024830e-001
0.63000000,5.245768400703e-001,5.490939890855e-001,6.408147388310e-001,7.742526185616e-001,8.111210868081e-001
0.64000000,5.242326416302e-001,5.484091662865e-001,6.388422188044e-001,7.710218210435e-001,8.080515187700e-001
0.65000000,5.238925390018e-001,5.477319776297e-001,6.368730279602e-001,7.677202300538e-001,8.048795912649e-001
0.66000000,5.235564088296e-001,5.470620711224e-001,6.349034619833e-001,7.643414277501e-001,8.015969699306e-001
0.67000000,5.232241277368e-001,5.463990599476e-001,6.329295495477e-001,7.608784438714e-001,7.981946452341e-001
