y,z,theta
0.95161290,0.37096774,5.172511767476e-01
0.98387097,0.37096774,5.098796574113e-01
1.00000000,0.37096774,5.000000000000e-01
0.00000000,0.40322581,1.000000000000e+00
0.01612903,0.40322581,9.356016020210e-01
0.04838710,0.40322581,8.975018838870e-01
0.08064516,0.40322581,8.594742394141e-01
0.11290323,0.40322581,8.261507167259e-01
0.14516129,0.40322581,7.969061365872e-01
0.17741935,0.40322581,7.707210406790e-01
0.20967742,0.40322581,7.469680995593e-01
0.24193548,0.40322581,7.252598174825e-01
0.27419355,0.40322581,7.053661721270e-01
0.30645161,0.40322581,6.871501678903e-01
0.33870968,0.40322581,6.705176750190e-01
0.37096774,0.40322581,6.553841515647e-01
0.40322581,0.40322581,6.416576008571e-01
0.43548387,0.40322581,6.292338422224e-01
0.46774194,0.40322581,6.179991309508e-01
0.50000000,0.40322581,6.078358036568e-01
0.53225806,0.40322581,5.986279519992e-01
0.56451613,0.40322581,5.902654644191e-01
0.59677419,0.40322581,5.826457751837e-01
0.62903226,0.40322581,5.756732824391e-01
0.66129032,0.40322581,5.692568183255e-01
0.69354839,0.40322581,5.633052432485e-01
0.72580645,0.40322581,5.577237633125e-01
0.75806452,0.40322581,5.524071337077e-01
0.79032258,0.40322581,5.472570346473e-01
0.82258065,0.40322581,5.421229783948e-01
0.85483871,0.40322581,5.367875906614e-01
0.88709677,0.40322581,5.310393278941e-01
0.91935484,0.40322581,5.245657129142e-01
0.95161290,0.40322581,5.173594334186e-01
0.98387097,0.40322581,5.099348870041e-01
1.00000000,0.40322581,5.000000000000e-01
0.00000000,0.43548387,1.000000000000e+00
0.01612903,0.43548387,9.358828854640e-01
0.04838710,0.43548387,8.979752437781e-01
0.08064516,0.43548387,8.601549950373e-01
0.11290323,0.43548387,8.270123547975e-01
0.14516129,0.43548387,7.979149235206e-01
0.17741935,0.43548387,7.718431874112e-01
0.20967742,0.43548387,7.481689666871e-01
0.24193548,0.43548387,7.265054033527e-01
0.27419355,0.43548387,7.066255948456e-01
0.30645161,0.43548387,6.883977809031e-01
0.33870968,0.43548387,6.717340139506e-01
0.37096774,0.43548387,6.565556016307e-01
0.40322581,0.43548387,6.427751660107e-01
0.43548387,0.43548387,6.302915924896e-01
0.46774194,0.43548387,6.189928342118e-01
0.50000000,0.43548387,6.087620323589e-01
0.53225806,0.43548387,5.994837210609e-01
0.56451613,0.43548387,5.910482886652e-01
0.59677419,0.43548387,5.833539543177e-01
0.62903226,0.43548387,5.763062329361e-01
0.66129032,0.43548387,5.698152860570e-01
0.69354839,0.43548387,5.637913955687e-01
0.72580645,0.43548387,5.581408965219e-01
0.75806452,0.43548387,5.527596389763e-01
0.79032258,0.43548387,5.475484991720e-01
0.82258065,0.43548387,5.423601544838e-01
0.85483871,0.43548387,5.369740520398e-01
0.88709677,0.43548387,5.311792339276e-01
0.91935484,0.43548387,5.246624934843e-01
0.95161290,0.43548387,5.174188485162e-01
0.98387097,0.43548387,5.099629029430e-01
1.00000000,0.43548387,5.000000000000e-01
0.00000000,0.46774194,1.000000000000e+00
0.01612903,0.46774194,9.360415548848e-01
0.04838710,0.46774194,8.982447495476e-01
0.08064516,0.46774194,8.605422304997e-01
0.11290323,0.46774194,8.275027163469e-01
0.14516129,0.46774194,7.984898633208e-01
0.17741935,0.46774194,7.724841538335e-01
0.20967742,0.46774194,7.488566836375e-01
0.24193548,0.46774194,7.272206230741e-01
0.27419355,0.46774194,7.073506362163e-01
0.30645161,0.46774194,6.891178665592e-01
0.33870968,0.46774194,6.724379085562e-01
0.37096774,0.46774194,6.572354511818e-01
0.40322581,0.46774194,6.434257548444e-01
0.43548387,0.46774194,6.309093814121e-01
0.46774194,0.46774194,6.195751127316e-01
0.50000000,0.46774194,6.093063821421e-01
0.53225806,0.46774194,5.999878320803e-01
0.56451613,0.46774194,5.915100546303e-01
0.59677419,0.46774194,5.837717177208e-01
0.62903226,0.46774194,5.766790571953e-01
0.66129032,0.46774194,5.701431419012e-01
0.69354839,0.46774194,5.640752551323e-01
0.72580645,0.46774194,5.583825535228e-01
0.75806452,0.46774194,5.529617207113e-01
0.79032258,0.46774194,5.477132048016e-01
0.82258065,0.46774194,5.424919211051e-01
0.85483871,0.46774194,5.370753862403e-01
0.88709677,0.46774194,5.312531741081e-01
0.91935484,0.46774194,5.247117962155e-01
0.95161290,0.46774194,5.174477673537e-01
0.98387097,0.46774194,5.099751783625e-01
1.00000000,0.46774194,5.000000000000e-01
0.00000000,0.50000000,1.000000000000e+00
0.01612903,0.50000000,9.360968770631e-01
0.04838710,0.50000000,8.983547569817e-01
0.08064516,0.50000000,8.607032389518e-01
0.11290323,0.50000000,8.277103223515e-01
0.14516129,0.50000000,7.987371686016e-01
0.17741935,0.50000000,7.727633872471e-01
0.20967742,0.50000000,7.491592135394e-01
0.24193548,0.50000000,7.275377471025e-01
0.27419355,0.50000000,7.076743287617e-01
0.30645161,0.50000000,6.894413469825e-01
0.33870968,0.50000000,6.727559397329e-01
0.37096774,0.50000000,6.575442897207e-01
0.40322581,0.50000000,6.437228277977e-01
0.43548387,0.50000000,6.311928487539e-01
0.46774194,0.50000000,6.198434735815e-01
0.50000000,0.50000000,6.095582249281e-01
0.53225806,0.50000000,6.002217552602e-01
0.56451613,0.50000000,5.917247267415e-01
0.59677419,0.50000000,5.839660147587e-01
0.62903226,0.50000000,5.768522164274e-01
0.66129032,0.50000000,5.702948775987e-01
0.69354839,0.50000000,5.642058372970e-01
0.72580645,0.50000000,5.584927353510e-01
0.75806452,0.50000000,5.530527362730e-01
0.79032258,0.50000000,5.477861093321e-01
