x,Qr,Qc,Qt
0.37000000,1.612163066436e+000,1.138828561938e+000,2.750991628374e+000
0.38000000,1.588433786956e+000,1.107646702375e+000,2.696080489331e+000
0.39000000,1.564970865224e+000,1.076375131489e+000,2.641345996714e+000
0.40000000,1.541787722805e+000,1.045087016962e+000,2.586874739767e+000
0.41000000,1.518895426821e+000,1.013854213480e+000,2.532749640301e+000
0.42000000,1.496302933458e+000,9.827468186005e-001,2.479049752059e+000
0.43000000,1.474017313732e+000,9.518327787896e-001,2.425850092521e+000
0.44000000,1.452043961899e+000,9.211775450293e-001,2.373221506928e+000
0.45000000,1.430386787004e+000,8.908437769184e-001,2.321230563923e+000
0.46000000,1.409048388166e+000,8.608910935396e-001,2.269939481706e+000
0.47000000,1.388030214322e+000,8.313758690486e-001,2.219406083370e+000
0.48000000,1.367332709255e+000,8.023510709296e-001,2.169683780185e+000
0.49000000,1.346955442762e+000,7.738661387198e-001,2.120821581482e+000
0.50000000,1.326897228824e+000,7.459669006814e-001,2.072864129505e+000
0.51000000,1.307156231664e+000,7.186955256777e-001,2.025851757341e+000
0.52000000,1.287730060535e+000,6.920905075314e-001,1.979820568066e+000
0.53000000,1.268615854123e+000,6.661866792142e-001,1.934802533337e+000
0.54000000,1.249810355433e+000,6.410152541777e-001,1.890825609611e+000
0.55000000,1.231309978017e+000,6.166038920620e-001,1.847913870079e+000
0.56000000,1.213110864353e+000,5.929767860676e-001,1.806087650421e+000
0.57000000,1.195208937140e+000,5.701547694120e-001,1.765363706552e+000
0.58000000,1.177599944186e+000,5.481554383953e-001,1.725755382581e+000
0.59000000,1.160279497529e+000,5.269932896690e-001,1.687272787198e+000
0.60000000,1.143243107396e+000,5.066798693851e-001,1.649922976781e+000
0.61000000,1.126486211523e+000,4.872239320496e-001,1.613710143573e+000
0.62000000,1.110004200421e+000,4.686316070553e-001,1.578635807476e+000
0.63000000,1.093792438994e+000,4.509065709933e-001,1.544699009987e+000
0.64000000,1.077846285044e+000,4.340502239709e-001,1.511896509015e+000
0.65000000,1.062161104956e+000,4.180618682987e-001,1.480222973255e+000
0.66000000,1.046732287023e+000,4.029388880720e-001,1.449671175095e+000
0.67000000,1.031555252575e+000,3.886769282898e-001,1.420232180865e+000
0.68000000,1.016625465374e+000,3.752700723108e-001,1.391895537684e+000
0.69000000,1.001938439232e+000,3.627110165384e-001,1.364649455771e+000
0.70000000,9.874897444551e-001,3.509912414146e-001,1.338480985870e+000
0.71000000,9.732750127777e-001,3.401011778616e-001,1.313376190639e+000
0.72000000,9.592899416379e-001,3.300303685059e-001,1.289320310144e+000
0.73000000,9.455302970623e-001,3.207676230082e-001,1.266297920070e+000
0.74000000,9.319919164424e-001,3.123011671188e-001,1.244293083561e+000
0.75000000,9.186707097983e-001,3.046187848177e-001,1.223289494616e+000
0.76000000,9.055626616562e-001,2.977079537801e-001,1.203270615436e+000
0.77000000,8.926638309099e-001,2.915559714401e-001,1.184219802350e+000
0.78000000,8.799703524038e-001,2.861500767066e-001,1.166120429110e+000
0.79000000,8.674784353281e-001,2.814775292269e-001,1.148955964555e+000
0.80000000,8.551843652973e-001,2.775256977549e-001,1.132710063052e+000
0.81000000,8.430845007129e-001,2.742815272897e-001,1.117366028003e+000
0.82000000,8.311752767265e-001,2.717307243185e-001,1.102906001045e+000
0.83000000,8.194531979107e-001,2.698446356343e-001,1.089297833545e+000
0.84000000,8.079148472479e-001,2.686041786980e-001,1.076519025946e+000
0.85000000,7.965568709521e-001,2.680234995865e-001,1.064580370539e+000
0.86000000,7.853759988722e-001,2.681197138883e-001,1.053495712761e+000
0.87000000,7.743690090298e-001,2.688787947158e-001,1.043247803746e+000
