x,0.005,0.015,0.05,SS,SS-1,SS-2,SS-3,SS-4
0.95113,0.499706,0.500734,0.50095,0.504356,0.50012,0.501418,0.502054,0.506528
0.95324,0.499708,0.500733,0.500926,0.50417,0.500155,0.501415,0.50205,0.506312
0.99494,0.499747,0.500728,0.500445,0.50057,0.502218,0.501384,0.502031,0.501711
0.99653,0.499749,0.500727,0.500427,0.500435,0.502326,0.501383,0.502032,0.501527
0.99705,0.499749,0.500727,0.50042,0.50039,0.502362,0.501383,0.502032,0.501466
0.99811,0.49975,0.500727,0.500408,0.500299,0.502433,0.501382,0.502032,0.501344
0.99864,0.49975,0.500727,0.500402,0.500254,0.502469,0.501382,0.502032,0.501283
1.00022,0.499752,0.500727,0.500384,0.500119,0.502576,0.501381,0.502033,0.5011
1.00075,0.499752,0.500727,0.500378,0.500074,0.502612,0.501381,0.502033,0.501039
1.00128,0.499753,0.500727,0.500372,0.500029,0.502648,0.501381,0.502033,0.500978
