y,z,theta
0.95161290,0.37096774,5.274947946993e-01
0.98387097,0.37096774,5.148501859098e-01
1.00000000,0.37096774,5.000000000000e-01
0.00000000,0.40322581,1.000000000000e+00
0.01612903,0.40322581,9.397468279400e-01
0.04838710,0.40322581,9.063956925300e-01
0.08064516,0.40322581,8.737469502833e-01
0.11290323,0.40322581,8.463389746824e-01
0.14516129,0.40322581,8.231019152656e-01
0.17741935,0.40322581,8.028243898073e-01
0.20967742,0.40322581,7.846592841270e-01
0.24193548,0.40322581,7.680206765259e-01
0.27419355,0.40322581,7.525254716995e-01
0.30645161,0.40322581,7.379398717201e-01
0.33870968,0.40322581,7.241290872404e-01
0.37096774,0.40322581,7.110160051353e-01
0.40322581,0.40322581,6.985517569661e-01
0.43548387,0.40322581,6.866974921928e-01
0.46774194,0.40322581,6.754147468286e-01
0.50000000,0.40322581,6.646613266169e-01
0.53225806,0.40322581,6.543901831549e-01
0.56451613,0.40322581,6.445490940079e-01
0.59677419,0.40322581,6.350807977798e-01
0.62903226,0.40322581,6.259209588155e-01
0.66129032,0.40322581,6.170003208545e-01
0.69354839,0.40322581,6.082368834918e-01
0.72580645,0.40322581,5.995674727385e-01
0.75806452,0.40322581,5.908444756703e-01
0.79032258,0.40322581,5.819388633236e-01
0.82258065,0.40322581,5.726859363780e-01
0.85483871,0.40322581,5.628717553069e-01
0.88709677,0.40322581,5.522291378606e-01
0.91935484,0.40322581,5.404231646943e-01
0.95161290,0.40322581,5.278439991391e-01
0.98387097,0.40322581,5.150245277905e-01
1.00000000,0.40322581,5.000000000000e-01
0.00000000,0.43548387,1.000000000000e+00
0.01612903,0.43548387,9.400716289929e-01
0.04838710,0.43548387,9.069522653553e-01
0.08064516,0.43548387,8.745525252257e-01
0.11290323,0.43548387,8.473694596902e-01
0.14516129,0.43548387,8.243247921187e-01
0.17741935,0.43548387,8.042078497813e-01
0.20967742,0.43548387,7.861710492442e-01
0.24193548,0.43548387,7.696288514980e-01
0.27419355,0.43548387,7.542003426139e-01
0.30645161,0.43548387,7.396554867277e-01
0.33870968,0.43548387,7.258639257106e-01
0.37096774,0.43548387,7.127526582494e-01
0.40322581,0.43548387,7.002759430914e-01
0.43548387,0.43548387,6.883968761908e-01
0.46774194,0.43548387,6.770779626092e-01
0.50000000,0.43548387,6.662774155143e-01
0.53225806,0.43548387,6.559484707124e-01
0.56451613,0.43548387,6.460393804559e-01
0.59677419,0.43548387,6.364937120185e-01
0.62903226,0.43548387,6.272482774476e-01
0.66129032,0.43548387,6.182352857106e-01
0.69354839,0.43548387,6.093744006889e-01
0.72580645,0.43548387,6.006035783960e-01
0.75806452,0.43548387,5.917744847809e-01
0.79032258,0.43548387,5.827605792294e-01
0.82258065,0.43548387,5.733960759603e-01
0.85483871,0.43548387,5.634665825691e-01
0.88709677,0.43548387,5.527041020539e-01
0.91935484,0.43548387,5.407728528795e-01
0.95161290,0.43548387,5.280716366344e-01
0.98387097,0.43548387,5.151362263203e-01
1.00000000,0.43548387,5.000000000000e-01
0.00000000,0.46774194,1.000000000000e+00
0.01612903,0.46774194,9.402561077505e-01
0.04838710,0.46774194,9.072706472135e-01
0.08064516,0.46774194,8.750128235834e-01
0.11290323,0.46774194,8.479582520134e-01
0.14516129,0.46774194,8.250240925409e-01
0.17741935,0.46774194,8.050001931197e-01
0.20967742,0.46774194,7.870385338730e-01
0.24193548,0.46774194,7.705534674885e-01
0.27419355,0.46774194,7.551651469914e-01
0.30645161,0.46774194,7.406456228673e-01
0.33870968,0.46774194,7.268670820902e-01
0.37096774,0.46774194,7.137588984903e-01
0.40322581,0.46774194,7.012770939254e-01
0.43548387,0.46774194,6.893857746990e-01
0.46774194,0.46774194,6.780478319941e-01
0.50000000,0.46774194,6.672215193956e-01
0.53225806,0.46774194,6.568600668357e-01
0.56451613,0.46774194,6.469118930191e-01
0.59677419,0.46774194,6.373210174456e-01
0.62903226,0.46774194,6.280249756497e-01
0.66129032,0.46774194,6.189569490948e-01
0.69354839,0.46774194,6.100377975137e-01
0.72580645,0.46774194,6.012061045272e-01
0.75806452,0.46774194,5.923134858095e-01
0.79032258,0.46774194,5.832349909557e-01
0.82258065,0.46774194,5.738043930300e-01
0.85483871,0.46774194,5.638070614692e-01
0.88709677,0.46774194,5.529746319638e-01
0.91935484,0.46774194,5.409709379990e-01
0.95161290,0.46774194,5.281998533104e-01
0.98387097,0.46774194,5.151983143993e-01
1.00000000,0.46774194,5.000000000000e-01
0.00000000,0.50000000,1.000000000000e+00
0.01612903,0.50000000,9.403208436483e-01
0.04838710,0.50000000,9.074008047041e-01
0.08064516,0.50000000,8.752044779564e-01
0.11290323,0.50000000,8.482076443907e-01
0.14516129,0.50000000,8.253247846834e-01
0.17741935,0.50000000,8.053449842123e-01
0.20967742,0.50000000,7.874194276038e-01
0.24193548,0.50000000,7.709624186623e-01
0.27419355,0.50000000,7.555946410571e-01
0.30645161,0.50000000,7.410890491593e-01
0.33870968,0.50000000,7.273189144620e-01
0.37096774,0.50000000,7.142146168645e-01
0.40322581,0.50000000,7.017329086539e-01
0.43548387,0.50000000,6.898382822268e-01
0.46774194,0.50000000,6.784937264644e-01
0.50000000,0.50000000,6.676574349122e-01
0.53225806,0.50000000,6.572825647839e-01
0.56451613,0.50000000,6.473175596749e-01
0.59677419,0.50000000,6.377066196203e-01
0.62903226,0.50000000,6.283876193773e-01
0.66129032,0.50000000,6.192942133843e-01
0.69354839,0.50000000,6.103479144042e-01
0.72580645,0.50000000,6.014874843282e-01
0.75806452,0.50000000,5.925646105389e-01
0.79032258,0.50000000,5.834550595015e-01
0.82258065,0.50000000,5.739924454516e-01
0.85483871,0.50000000,5.639623853910e-01
0.88709677,0.50000000,5.530965599327e-01
0.91935484,0.50000000,5.410589190046e-01
0.95161290,0.50000000,5.282559083219e-01
0.98387097,0.50000000,5.152213943400e-01
1.00000000,0.50000000,5.000000000000e-01
0.00000000,0.53225806,1.000000000000e+00
0.01612903,0.53225806,9.402558591111e-01
0.04838710,0.53225806,9.072717486174e-01
0.08064516,0.53225806,8.750146805513e-01
0.11290323,0.53225806,8.479609057717e-01
0.14516129,0.53225806,8.250275210123e-01
0.17741935,0.53225806,8.050043410922e-01
0.20967742,0.53225806,7.870433651972e-01
0.24193548,0.53225806,7.705589266746e-01
0.27419355,0.53225806,7.551711601788e-01
0.30645161,0.53225806,7.406521095805e-01
0.33870968,0.53225806,7.268739615921e-01
0.37096774,0.53225806,7.137660921203e-01
0.40322581,0.53225806,7.012845244137e-01
0.43548387,0.53225806,6.893933639329e-01
0.46774194,0.53225806,6.780554988716e-01
0.50000000,0.53225806,6.672291789791e-01
0.53225806,0.53225806,6.568676312911e-01
0.56451613,0.53225806,6.469192741062e-01
0.59677419,0.53225806,6.373281298778e-01
0.62903226,0.53225806,6.280317409541e-01
0.66129032,0.53225806,6.189632985143e-01
0.69354839,0.53225806,6.100436800810e-01
0.72580645,0.53225806,6.012114669895e-01
0.75806452,0.53225806,5.923182813158e-01
0.79032258,0.53225806,5.832391973281e-01
0.82258065,0.53225806,5.738079840288e-01
0.85483871,0.53225806,5.638100145864e-01
0.88709677,0.53225806,5.529769265807e-01
0.91935484,0.53225806,5.409725557679e-01
0.95161290,0.53225806,5.282008420460e-01
0.98387097,0.53225806,5.151984623308e-01
1.00000000,0.53225806,5.000000000000e-01
0.00000000,0.56451613,1.000000000000e+00
0.01612903,0.56451613,9.400704691193e-01
0.04838710,0.56451613,9.069522701350e-01
0.08064516,0.56451613,8.745527769014e-01
0.11290323,0.56451613,8.473700542989e-01
0.14516129,0.56451613,8.243257794249e-01
0.17741935,0.56451613,8.042092757147e-01
0.20967742,0.56451613,7.861729344673e-01
0.24193548,0.56451613,7.696312041930e-01
0.27419355,0.56451613,7.542031479041e-01
0.30645161,0.56451613,7.396587119931e-01
0.33870968,0.56451613,7.258675270167e-01
0.37096774,0.56451613,7.127565846554e-01
0.40322581,0.56451613,7.002801386273e-01
0.43548387,0.56451613,6.884012803701e-01
0.46774194,0.56451613,6.770825106311e-01
0.50000000,0.56451613,6.662820390210e-01
0.53225806,0.56451613,6.559530994636e-01
0.56451613,0.56451613,6.460439447258e-01
0.59677419,0.56451613,6.364981453636e-01
0.62903226,0.56451613,6.272525194031e-01
0.66129032,0.56451613,6.182392841146e-01
0.69354839,0.56451613,6.093781167952e-01
0.72580645,0.56451613,6.006069746762e-01
0.75806452,0.56451613,5.917775264307e-01
0.79032258,0.56451613,5.827632526219e-01
0.82258065,0.56451613,5.733983621758e-01
0.85483871,0.56451613,5.634684620801e-01
0.88709677,0.56451613,5.527055534658e-01
0.91935484,0.56451613,5.407738539378e-01
0.95161290,0.56451613,5.280722222564e-01
0.98387097,0.56451613,5.151361422213e-01
1.00000000,0.56451613,5.000000000000e-01
0.00000000,0.59677419,1.000000000000e+00
0.01612903,0.59677419,9.397446285063e-01
0.04838710,0.59677419,9.063949923556e-01
0.08064516,0.59677419,8.737463536947e-01
0.11290323,0.59677419,8.463387343030e-01
0.14516129,0.59677419,8.231021872342e-01
0.17741935,0.59677419,8.028252927381e-01
