x,0.005,0.015,0.05,SS,SS-1,SS-2,SS-3,SS-4
0.78975,0.500001,0.501063,0.505517,0.524537,0.503035,0.502881,0.510124,0.525004
0.80971,0.500061,0.500998,0.504834,0.521826,0.503066,0.503066,0.508605,0.522454
0.80973,0.500061,0.500998,0.504833,0.521824,0.503066,0.503066,0.508604,0.522452
0.80976,0.500061,0.500998,0.504832,0.52182,0.503066,0.503066,0.508601,0.522448
0.8833,0.500286,0.500762,0.502576,0.512998,0.50309,0.503842,0.505302,0.515271
0.8875,0.500298,0.500748,0.502481,0.51252,0.503106,0.50387,0.505196,0.514912
0.89139,0.50031,0.500736,0.502397,0.51208,0.503124,0.503893,0.505101,0.51458
0.89201,0.500312,0.500734,0.502384,0.51201,0.503127,0.503896,0.505086,0.514526
0.89265,0.500314,0.500732,0.50237,0.511937,0.503131,0.5039,0.505071,0.514471
0.89385,0.500318,0.500728,0.502345,0.511801,0.503137,0.503906,0.505043,0.514368
0.95115,0.500495,0.500545,0.501438,0.505409,0.503535,0.504006,0.503905,0.509074
0.95116,0.500495,0.500545,0.501437,0.505408,0.503535,0.504006,0.503905,0.509073
0.99422,0.500629,0.500407,0.500948,0.50068,0.503192,0.503957,0.503183,0.504348
0.99551,0.500633,0.500403,0.500935,0.50054,0.503172,0.503955,0.503162,0.504201
0.99615,0.500635,0.500401,0.500928,0.500469,0.503163,0.503954,0.503152,0.504127
0.99615,0.500635,0.500401,0.500928,0.500469,0.503162,0.503954,0.503152,0.504127
0.99831,0.500642,0.500394,0.500905,0.500232,0.50313,0.50395,0.503116,0.503879
0.99872,0.500643,0.500393,0.5009,0.500188,0.503124,0.50395,0.50311,0.503832
0.99912,0.500644,0.500391,0.500896,0.500144,0.503118,0.503949,0.503103,0.503786
0.99953,0.500646,0.50039,0.500892,0.500099,0.503111,0.503949,0.503096,0.503739
