x,Qr,Qc,Qt
0.38000000,1.588433786956e+00,1.107646702375e+00,2.696080489331e+00
0.39000000,1.564970865224e+00,1.076375131490e+00,2.641345996714e+00
0.40000000,1.541787722805e+00,1.045087016962e+00,2.586874739767e+00
0.41000000,1.518895426821e+00,1.013854213480e+00,2.532749640301e+00
0.42000000,1.496302933458e+00,9.827468186005e-01,2.479049752059e+00
0.43000000,1.474017313732e+00,9.518327787897e-01,2.425850092521e+00
0.44000000,1.452043961899e+00,9.211775450293e-01,2.373221506928e+00
0.45000000,1.430386787004e+00,8.908437769185e-01,2.321230563923e+00
0.46000000,1.409048388166e+00,8.608910935397e-01,2.269939481706e+00
0.47000000,1.388030214322e+00,8.313758690486e-01,2.219406083370e+00
0.48000000,1.367332709255e+00,8.023510709296e-01,2.169683780185e+00
0.49000000,1.346955442762e+00,7.738661387199e-01,2.120821581482e+00
0.50000000,1.326897228824e+00,7.459669006815e-01,2.072864129505e+00
0.51000000,1.307156231664e+00,7.186955256778e-01,2.025851757341e+00
0.52000000,1.287730060535e+00,6.920905075314e-01,1.979820568066e+00
0.53000000,1.268615854123e+00,6.661866792142e-01,1.934802533337e+00
0.54000000,1.249810355433e+00,6.410152541778e-01,1.890825609611e+00
0.55000000,1.231309978017e+00,6.166038920620e-01,1.847913870079e+00
0.56000000,1.213110864353e+00,5.929767860677e-01,1.806087650421e+00
0.57000000,1.195208937140e+00,5.701547694120e-01,1.765363706552e+00
0.58000000,1.177599944186e+00,5.481554383954e-01,1.725755382581e+00
0.59000000,1.160279497529e+00,5.269932896690e-01,1.687272787198e+00
0.60000000,1.143243107396e+00,5.066798693851e-01,1.649922976781e+00
0.61000000,1.126486211523e+00,4.872239320496e-01,1.613710143573e+00
0.62000000,1.110004200421e+00,4.686316070554e-01,1.578635807476e+00
0.63000000,1.093792438994e+00,4.509065709933e-01,1.544699009987e+00
0.64000000,1.077846285045e+00,4.340502239709e-01,1.511896509015e+00
0.65000000,1.062161104956e+00,4.180618682988e-01,1.480222973255e+00
0.66000000,1.046732287023e+00,4.029388880721e-01,1.449671175095e+00
0.67000000,1.031555252575e+00,3.886769282899e-01,1.420232180865e+00
0.68000000,1.016625465374e+00,3.752700723109e-01,1.391895537684e+00
0.69000000,1.001938439232e+00,3.627110165384e-01,1.364649455771e+00
0.70000000,9.874897444551e-01,3.509912414146e-01,1.338480985870e+00
0.71000000,9.732750127777e-01,3.401011778617e-01,1.313376190639e+00
0.72000000,9.592899416380e-01,3.300303685060e-01,1.289320310144e+00
0.73000000,9.455302970623e-01,3.207676230082e-01,1.266297920071e+00
0.74000000,9.319919164424e-01,3.123011671189e-01,1.244293083561e+00
0.75000000,9.186707097984e-01,3.046187848177e-01,1.223289494616e+00
0.76000000,9.055626616562e-01,2.977079537801e-01,1.203270615436e+00
0.77000000,8.926638309099e-01,2.915559714402e-01,1.184219802350e+00
0.78000000,8.799703524038e-01,2.861500767067e-01,1.166120429110e+00
0.79000000,8.674784353282e-01,2.814775292270e-01,1.148955964555e+00
0.80000000,8.551843652974e-01,2.775256977549e-01,1.132710063052e+00
0.81000000,8.430845007130e-01,2.742815272898e-01,1.117366028003e+00
0.82000000,8.311752767265e-01,2.717307243185e-01,1.102906001045e+00
0.83000000,8.194531979107e-01,2.698446356343e-01,1.089297833545e+00
0.84000000,8.079148472479e-01,2.686041786981e-01,1.076519025946e+00
0.85000000,7.965568709521e-01,2.680234995866e-01,1.064580370539e+00
0.86000000,7.853759988722e-01,2.681197138884e-01,1.053495712761e+00
0.87000000,7.743690090298e-01,2.688787947159e-01,1.043247803746e+00
0.88000000,7.635327807555e-01,2.702547629827e-01,1.033787543738e+00
0.89000000,7.528642060967e-01,2.722299243603e-01,1.025094130457e+00
0.90000000,7.423603344457e-01,2.748180906259e-01,1.017178425072e+00
0.91000000,7.320181243521e-01,2.780226132025e-01,1.010040737555e+00
0.92000000,7.218348694968e-01,2.818402972209e-01,1.003675166718e+00
0.93000000,7.118074373321e-01,2.862674096194e-01,9.980748469516e-01
0.94000000,7.019336665624e-01,2.913009392215e-01,9.932346057839e-01
0.95000000,6.922096755370e-01,2.969421761531e-01,9.891518516901e-01
0.96000000,6.826353672751e-01,3.029923498347e-01,9.856277171098e-01
0.97000000,6.732020773939e-01,3.074880113401e-01,9.806900887340e-01
0.98000000,6.639245090885e-01,3.085831235296e-01,9.725076326182e-01
0.99000000,6.539463983943e-01,3.126767877422e-01,9.666231861365e-01
1.00000000,6.485613614246e-01,3.356781330604e-01,9.842394944850e-01
