x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.48000000,5.004062805999e-01,5.008393828990e-01,5.057815708291e-01,5.523159454347e-01,7.685162968910e-01
0.49000000,5.003992351849e-01,5.008236006613e-01,5.052513213789e-01,5.490060338876e-01,7.636316374434e-01
0.50000000,5.003923459252e-01,5.008085229679e-01,5.047918243920e-01,5.458839599648e-01,7.587382365239e-01
0.51000000,5.003856076661e-01,5.007940207371e-01,5.043939698559e-01,5.429421571478e-01,7.538358433782e-01
0.52000000,5.003790155596e-01,5.007800017000e-01,5.040496577342e-01,5.401730757644e-01,7.489242159775e-01
0.53000000,5.003725650232e-01,5.007663995999e-01,5.037517138989e-01,5.375692088336e-01,7.440031207958e-01
0.54000000,5.003662517117e-01,5.007531664576e-01,5.034938082689e-01,5.351231160666e-01,7.390723326110e-01
0.55000000,5.003600714949e-01,5.007402670749e-01,5.032703760036e-01,5.328274459894e-01,7.341316343091e-01
0.56000000,5.003540204398e-01,5.007276751553e-01,5.030765424136e-01,5.306749561691e-01,7.291808166738e-01
0.57000000,5.003480947964e-01,5.007153705852e-01,5.029080520666e-01,5.286585315418e-01,7.242196781948e-01
0.58000000,5.003422909839e-01,5.007033375394e-01,5.027612024176e-01,5.267712008551e-01,7.192480248878e-01
0.59000000,5.003366055795e-01,5.006915631651e-01,5.026327821508e-01,5.250061512496e-01,7.142656701143e-01
0.60000000,5.003310353077e-01,5.006800366694e-01,5.025200143109e-01,5.233567410178e-01,7.092724344086e-01
0.61000000,5.003255770306e-01,5.006687486832e-01,5.024205041979e-01,5.218165105883e-01,7.042681453051e-01
0.62000000,5.003202277394e-01,5.006576908116e-01,5.023321919265e-01,5.203791917942e-01,6.992526371818e-01
0.63000000,5.003149845456e-01,5.006468553080e-01,5.022533094829e-01,5.190387154913e-01,6.942257511003e-01
0.64000000,5.003098446738e-01,5.006362348237e-01,5.021823420688e-01,5.177892175994e-01,6.891873346408e-01
0.65000000,5.003048054533e-01,5.006258222012e-01,5.021179934847e-01,5.166250436472e-01,6.841372417517e-01
0.66000000,5.002998643105e-01,5.006156102832e-01,5.020591552835e-01,5.155407519041e-01,6.790753325984e-01
0.67000000,5.002950187595e-01,5.006055917184e-01,5.020048794114e-01,5.145311151860e-01,6.740014734185e-01
0.68000000,5.002902663903e-01,5.005957587452e-01,5.019543540475e-01,5.135911214270e-01,6.689155363791e-01
0.69000000,5.002856048538e-01,5.005861029378e-01,5.019068823623e-01,5.127159731064e-01,6.638173994322e-01
0.70000000,5.002810318395e-01,5.005766148989e-01,5.018618639177e-01,5.119010856252e-01,6.587069461738e-01
0.71000000,5.002765450427e-01,5.005672838852e-01,5.018187784808e-01,5.111420847224e-01,6.535840657078e-01
0.72000000,5.002721421164e-01,5.005580973500e-01,5.017771722991e-01,5.104348030226e-01,6.484486525109e-01
0.73000000,5.002678205946e-01,5.005490403883e-01,5.017366466254e-01,5.097752758027e-01,6.433006062943e-01
0.74000000,5.002635777772e-01,5.005400950949e-01,5.016968595179e-01,5.091597360649e-01,6.381398318738e-01
0.75000000,5.002594105636e-01,5.005312403280e-01,5.016574940852e-01,5.085846089984e-01,6.329662390329e-01
0.76000000,5.002553152134e-01,5.005224528430e-01,5.016182456233e-01,5.080465059090e-01,6.277797423943e-01
0.77000000,5.002512870059e-01,5.005137023815e-01,5.015788247614e-01,5.075422176922e-01,6.225802612831e-01
0.78000000,5.002473197801e-01,5.005049495399e-01,5.015389676390e-01,5.070687079210e-01,6.173677196011e-01
0.79000000,5.002434053870e-01,5.004961455344e-01,5.014984377497e-01,5.066231056140e-01,6.121420456859e-01
0.80000000,5.002395337607e-01,5.004872327848e-01,5.014569917344e-01,5.062026977466e-01,6.069031721892e-01
0.81000000,5.002356916769e-01,5.004781439935e-01,5.014143806013e-01,5.058049215590e-01,6.016510359275e-01
0.82000000,5.002318594994e-01,5.004687959959e-01,5.013703532689e-01,5.054273567165e-01,5.963855777672e-01
0.83000000,5.002280094429e-01,5.004590882449e-01,5.013246547580e-01,5.050677173632e-01,5.911067424606e-01
0.84000000,5.002241040168e-01,5.004489005715e-01,5.012770241869e-01,5.047238441173e-01,5.858144785421e-01
0.85000000,5.002200937251e-01,5.004380904699e-01,5.012271930277e-01,5.043936960386e-01,5.805087381400e-01
0.86000000,5.002159127038e-01,5.004264902393e-01,5.011748836618e-01,5.040753426019e-01,5.751894768930e-01
0.87000000,5.002114729623e-01,5.004139040528e-01,5.011198082320e-01,5.037669557978e-01,5.698566537211e-01
0.88000000,5.002066591599e-01,5.004001050820e-01,5.010616677691e-01,5.034668022441e-01,5.645102307808e-01
0.89000000,5.002013221362e-01,5.003848327861e-01,5.010001515490e-01,5.031732372959e-01,5.591501731651e-01
0.90000000,5.001952716103e-01,5.003677904904e-01,5.009349366805e-01,5.028847002838e-01,5.537764489329e-01
0.91000000,5.001882682088e-01,5.003486433510e-01,5.008656878603e-01,5.025997473141e-01,5.483890286829e-01
0.92000000,5.001800151931e-01,5.003270168929e-01,5.007920573401e-01,5.023170037120e-01,5.429878857296e-01
0.93000000,5.001701502399e-01,5.003024961482e-01,5.007136849734e-01,5.020350737688e-01,5.375729954371e-01
0.94000000,5.001582380429e-01,5.002746256922e-01,5.006301985409e-01,5.017525620035e-01,5.321443358445e-01
0.95000000,5.001437641363e-01,5.002429103325e-01,5.005412139379e-01,5.014681643644e-01,5.267018671806e-01
0.96000000,5.001261314128e-01,5.002068172003e-01,5.004463360735e-01,5.011806900837e-01,5.212481820832e-01
0.97000000,5.001046468723e-01,5.001657507984e-01,5.003450849101e-01,5.008893428965e-01,5.157936712716e-01
0.98000000,5.000786925097e-01,5.001195798618e-01,5.002384558042e-01,5.005966127733e-01,5.103996713963e-01
0.99000000,5.000497646911e-01,5.000702583585e-01,5.001291884121e-01,5.003052089572e-01,5.050961800893e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
